date,1_cap_pres,2_balanced,3_aggressive,4_tactical,spy,qqq,60_40,sso
2012-11-06,114817.03363798224,114313.18675960114,133820.19550807643,104956.31642176083,138504.8188636505,155827.81777565688,146747.09953289918,157197.21501534595
2012-11-07,113810.35619541079,112955.61602662591,131753.54902849722,103764.37155147553,135365.7732964548,152152.56258322156,145808.85293728946,151853.18556188123
2012-11-08,113328.58378300034,112440.83025714457,131063.99841017934,102795.85690012912,133738.17593424334,149757.85654220605,145655.76961168426,149114.42998602396
2012-11-09,113426.49710925616,112397.20267069165,131356.6725298469,103023.577112522,133854.41882818053,150397.98872844988,145797.11581942934,149308.84148537656
2012-11-12,113989.71715113339,112335.61165125805,132350.10892644426,103054.73875675915,133960.95997264388,150374.25037031432,145965.86802253197,149487.1045751155
2012-11-13,113675.55131736436,112042.3839323319,131751.5655922824,102755.16203933477,133495.91340752717,149331.0136055169,145871.32411456888,148708.6860210148
2012-11-14,112939.86726741085,111086.5428012108,130341.42684293934,101607.85891831553,131693.90952289046,147576.36855601214,144780.9614291531,145697.65418810348
2012-11-15,112794.76371585293,110917.93205743757,130150.43950709923,101081.99832394537,131471.11611081893,147078.44276370632,144518.88483790087,145327.92777905782
2012-11-16,113388.79279468014,111306.08584268996,131133.03778916522,101611.15315752765,132120.14909011184,147718.64614468315,144879.51144534355,146404.08755541584
2012-11-19,114217.8382657909,112443.05338852917,132957.54334932953,102734.6668095642,134794.18558687478,151227.88539031192,146242.12206023582,150848.79045759898
2012-11-20,114543.16694136456,112314.0267372206,133029.5499040758,102889.95247401815,134852.3585890338,151275.3010825261,145673.90964726792,150946.44296732818
2012-11-21,114561.3905618976,112603.23646653199,133286.00328458805,102924.17737051967,135104.2010075009,151583.54376462288,145800.7341851903,151369.29115834594
2012-11-23,115020.70601019252,113271.85242900794,134072.12655225123,103506.82211870563,136945.00251636197,153883.48961594308,146915.852788525,154462.9124241722
2012-11-26,114646.29519820068,112776.90266338234,133212.29551762494,102861.88043195411,136654.35309999954,154547.39067235086,147014.10282202595,153971.16879146427
2012-11-27,114303.53356563694,112554.73439729027,133030.58119216497,102630.69250887877,135956.7926259955,154025.77737529023,146805.0648409227,152792.2359688135
2012-11-28,114344.64269741409,113095.07951688289,133340.10338074423,103285.00384204785,137051.55303449632,155353.58965878194,147416.0784450323,154637.72181142
2012-11-29,114864.13644014874,113542.40149631153,133729.74822544763,103632.7601183982,137691.00612203826,156278.3075343962,147833.0756695822,155719.98136784259
2012-11-30,115174.26224030343,113581.19938899949,134711.11436938416,103968.21521117842,137720.02700742087,156017.439861809,147688.2380017174,155769.2125978808
2012-12-03,115075.47252032753,113498.59371717507,134411.68740066202,103312.6032842051,137041.8419113515,155709.19717971218,147311.52102931944,154618.61350885383
2012-12-04,115420.05988711587,114430.79393712408,135942.82382350136,104698.66178686608,136848.13500035947,155614.3861366361,147526.91207056504,154290.78632570736
2012-12-05,115295.97306619663,114774.77163726455,137038.04480374267,105978.89241731973,137090.3225377077,153883.48961594308,147654.76693913282,154700.37143524113
2012-12-06,115479.54739322855,115192.51693081929,137859.34951400003,106775.71899762031,137555.40659750835,154879.3513712309,148082.34144736695,155487.61165177776
2012-12-07,115319.21320793149,115284.74523112719,138029.1596806332,106763.25561293765,137971.98190993982,153954.59281291204,147802.71244822533,156193.93394770092
2012-12-10,115560.58748578673,115760.8341625547,138626.89328254387,107225.82144172469,138030.07054905995,154405.17410773676,148100.12436255938,156292.57455142617
2012-12-11,115932.52367304484,116661.85594812415,140252.7782876357,108406.01346604378,138969.86542876717,156420.54444036263,148257.2233088473,157888.78066124793
2012-12-12,115667.5524716083,116803.61689984593,140232.19780421385,108382.29550654443,139037.67456470313,156088.58374148258,147620.29210627713,158004.3413451155
2012-12-13,115289.1459510969,116383.83271870264,139617.07893006888,108218.55633149703,138185.12981456346,154855.59267174304,147112.9822149808,156551.07583127415
2012-12-14,115072.62895599823,116577.11001086133,139778.895377846,108450.71287300102,137671.60262309058,153385.57399431337,147216.63923453676,155678.40703107577
2012-12-17,115600.84455211122,117080.49380424421,140770.95074723812,108993.50988449084,139289.58259886716,155424.68268507477,147385.7178298355,158422.81336220566
2012-12-18,116307.74033079873,118331.6155300429,142610.28216842655,110624.65973942864,140839.7440650368,157795.76224539237,147799.4190636996,161067.4577360442
2012-12-19,116126.89988225116,118439.3367619151,142744.37941389615,110928.70634737075,139793.4080408662,157108.20419625824,147313.5997058203,159272.53807963346
2012-12-20,116634.95128005405,119030.08357505046,143536.86819564877,111546.26429016326,140597.50028566262,157108.20419625824,147841.66377633793,160646.74249821494
2012-12-21,116061.95660961566,118275.6255743237,142343.83995795163,110465.43940878104,139321.3218488366,155455.8761488287,147642.52603971437,158459.49974881308
2012-12-24,115798.44525266209,117737.97747325446,141713.74963588812,109992.80994638983,138891.97959651783,155145.9044517863,147261.63955507622,157727.02006493582
2012-12-26,115342.36036131985,117639.79931998622,141610.9984804386,109945.63493686565,138306.5563485577,153786.85802183603,147091.5650353082,156729.80196084807
2012-12-27,115364.58034511848,117459.1347609178,141542.20796395748,109790.06547375034,138121.13576272014,153548.42686083706,147166.18289889768,156414.62241551385
2012-12-28,114862.19822420354,116963.4300680931,140573.03549218216,109182.86057791434,136628.36928401745,152070.14959437307,146535.0125670476,153878.90798088236
2012-12-31,115605.7845075958,118319.23715104078,143011.9988560494,111057.11413397147,138950.5650402004,155288.94484116862,147023.7031439607,157801.9982104428
2013-01-02,116640.42969550467,120287.13432574293,146161.22979731477,112930.61195568147,142511.84761710506,160224.38749137017,148553.19189888824,163868.6612714926
2013-01-03,116848.85097009965,120646.86161421446,147115.42122463507,113309.015287434,142189.87139229666,159389.9038545642,147546.67532993038,163313.31993879488
2013-01-04,117555.94309219527,121559.4186885395,147894.12745375387,114175.82182162587,142814.2891115719,158865.3410614199,148165.82194559957,164389.08992611806
2013-01-07,117570.38483188098,121741.31806698618,147934.65487583968,114823.0316930581,142424.08193563306,158913.07204459474,147946.59220231042,163715.35689561107
2013-01-08,117747.37392774865,121714.73989908786,146937.81278390737,114450.19607460195,142014.23691897184,158603.0494941716,148077.9558395187,163008.68648289706
2013-01-09,118095.07078003619,122386.93906338196,148160.74430371224,115439.44003636415,142375.2357361083,159199.20367674012,148249.07737427688,163630.2362403013
2013-01-10,118345.9479752269,123055.25249395939,148994.08831407342,116395.58592214462,143507.1065080554,160152.82661397444,148792.94282633218,165581.50551318048
2013-01-11,118374.25278082838,123102.31678364356,148522.5995473094,116080.2203415542,143497.32976921365,160367.5702702186,149313.68867473482,165564.58460407902
2013-01-14,118743.59682555539,123568.00082031652,148476.46498939002,115903.03861316948,143399.80609624193,159652.21576316483,149088.6476592262,165395.80306893899
2013-01-15,118819.67494338063,123545.74201519163,148617.0011020932,116309.46065344343,143497.32976921365,158865.3410614199,149423.00271299478,165564.52721140996
2013-01-16,118396.84515097947,123142.10035253491,147828.2635039192,115915.35981990745,143477.79503887214,159509.09400837333,149535.02754087973,165530.7190032879
2013-01-17,118992.62907597152,123698.72006803451,148580.98401230693,116567.98505551403,144404.75736299512,160272.0676211643,149518.41148541088,167134.87740242697
2013-01-18,119187.28731243918,123956.07480289967,148693.76436765707,116992.09837459112,144726.7335878035,159914.45647703236,150176.9809746424,167693.86303949193
2013-01-22,119486.78497510066,124215.58760710908,149623.81498580458,116956.12428620142,145507.28854474603,160176.69719089993,150779.5245338182,169050.4984668185
2013-01-23,119066.62850433521,122947.3837627345,149171.24105675874,116511.41478649888,145741.47096706944,161154.33309452585,150836.50305570065,169458.60848957283
2013-01-24,119413.61428960366,123152.50612757163,149411.22654205552,117110.59927862367,145780.45606471357,158936.97313354872,150652.13751794776,169526.6024554094
2013-01-25,119960.1339136363,123855.19578546322,150262.92462623122,117551.66096367163,146600.07110866814,159747.52516937227,150349.69332988551,170956.28539241373
2013-01-28,120052.41736151095,123637.53643500624,149330.93853613464,116946.6821237761,146424.48350369823,160105.1769962088,150026.16146663777,170649.14565694577
2013-01-29,120631.68927910601,124093.2036307306,149534.3856309444,117440.34148927494,147000.08314446168,160129.06791448657,150063.08430187154,171655.3870783223
2013-01-30,120301.41268652045,123992.91064692853,149501.73000793083,117625.8055610678,146424.48350369823,159795.2866645756,149603.70564421,170647.17561656117
2013-01-31,120285.55059501782,123952.922675053,148928.98953404962,117108.85051494223,146063.4471918778,159437.63483773908,149661.20236277988,170016.0329404907
2013-02-01,120824.23293961631,124438.2129894615,150247.78117426336,118507.65137510624,147566.0372777772,161321.2338901575,149843.82327750698,172639.52715261278
2013-02-04,119937.68686658745,123470.06694679435,149120.4625083154,117581.29569232822,145907.30995421056,158507.78077066873,149600.99966628282,169728.67544752205
2013-02-05,120772.16206831041,124591.1235888484,150451.07575457531,118628.1479945909,147380.6354392816,160844.3715681596,149959.1460375505,172299.47450305943
2013-02-06,120590.93870082288,125401.595355529,151493.35869694804,119487.125436294,147487.9733457791,160319.8291163676,150517.3534843067,172487.70409810072
2013-02-07,120223.71887414432,125048.63918997278,150592.2430628991,118598.11665952665,147292.77602109977,160462.80848169298,150263.58279905148,172145.2781604167
2013-02-08,120600.51771315231,125614.26798060109,152263.82955623287,120431.8543288524,148112.40043872528,162108.02722649323,150996.37119399683,173582.15589302528
2013-02-11,120488.36795584645,125962.12406344315,152645.21922998846,121572.81885883804,148083.18270625194,162155.68701493504,150931.88654634598,173530.79276970125
2013-02-12,120440.81236944321,126314.91948475232,153258.51316288195,122097.31181529253,148327.11374640415,161488.13468578918,150930.04840000023,173959.5674557105
2013-02-13,120402.52046265785,125942.34818423461,152635.84009647724,121612.8283319989,148453.92076754617,162060.31658467068,150514.50803223156,174182.64832735003
2013-02-14,121156.82835499366,126776.11702510926,153338.49393742884,122695.83342648213,148590.44828550404,162012.63645487657,151142.3365078126,174422.93222680356
2013-02-15,121576.07202037919,126741.99017676813,152800.64364172026,122537.90763254446,148414.92629623105,161535.73345017407,150859.0813843461,174113.87743499974
2013-02-19,122013.77801462606,127468.39914146013,154047.95118874824,123779.52987578476,149527.1686011268,162704.03901959566,151235.79846571886,176071.1282168325
2013-02-20,121596.66017598346,125909.2555999936,151937.10991163383,122548.0955721806,147663.6078191039,160200.58810917774,150281.99450470568,172779.56001092316
2013-02-21,121544.29662602427,125058.31862154782,150555.89487281087,120996.6195469808,146765.91009580923,158483.91019374324,150087.7816571056,171203.98069306233
2013-02-22,122463.75003432325,125996.99151783808,152134.89584503009,122287.63415577933,148200.3160989331,160081.3674433402,151003.25140393758,173713.8552699091
2013-02-25,121484.94710768042,124804.93499092458,150576.5472755738,121293.62717700665,145380.43465524903,158102.43864336197,150478.34362290264,168755.84482282517
2013-02-26,121740.37928329478,125031.74781325358,150864.1247405556,121293.5199434314,146375.70291987038,158698.46060714056,150726.77928111932,170488.78781360466
2013-02-27,123052.83482066868,125841.05586426947,151535.64057844228,120960.49958795364,148219.72897155175,160319.8291163676,151668.68728801943,173710.48813657393
2013-02-28,123356.72207918917,125793.50409838931,151550.1442940123,121021.17120506463,147926.96110554575,159986.00718375196,151604.46430047785,173195.81121804746
2013-03-01,123264.39991649057,125605.8366462778,151035.20577699543,120796.02630781558,148414.92629623105,160653.5900249263,152236.53796899706,174052.79015970178
2013-03-04,123509.26370935986,126161.77190747982,152376.71696145803,121998.92925618145,149205.22049733135,161368.95470265622,152400.31550949145,175443.00993928773
2013-03-05,124087.9747985128,127104.81380296365,153588.25778781937,122970.02966484884,150541.88723305074,163753.14426453196,153048.81839962082,177800.59000202274
2013-03-06,124058.66055957196,127677.11732620385,154466.00830763218,123532.20098541159,150746.8519229008,163347.85299060596,152626.97428492637,178163.7066413987
2013-03-07,123693.56915679586,128093.20982237611,155242.78873000285,124297.32732057883,151020.0100691974,163777.07586551437,152334.13392183895,178647.96419526503
2013-03-08,123933.71697081366,128374.2088201796,155149.75921511307,124406.64441602981,151664.02813451106,163967.8167260431,152110.77611991903,179790.71855166333
2013-03-11,124198.21532002976,128698.57850819257,155766.04656417857,125050.72508478725,152239.74025932635,164444.63836533637,152521.4760471909,180814.4388550795
2013-03-12,123797.83331909959,128497.13748228241,155335.09187510365,124550.5292876568,151898.2011831635,163848.55537750092,152736.3497561773,180205.97227173264
2013-03-13,123999.80332214251,128752.94832619597,155853.63024060303,125295.79313605928,152112.82075413247,163633.97445207517,152806.96514498722,180587.89643035093
2013-03-14,124096.1348683092,129261.02771468519,156762.6630125837,125898.95116361299,152922.67780658725,164182.34679808808,153126.12049008295,182030.08632059512
2013-03-15,123358.60223328818,129038.49933344468,156304.2633103507,125354.46807465254,152720.77830715064,163725.91736447674,153278.4462154108,181669.59253539264
2013-03-18,123317.11618265329,128171.94613917025,155014.43306009582,124411.5120458834,151877.93530648484,163367.48239557666,153210.38310353243,180165.68180825195
2013-03-19,123175.69737102646,127390.70471439551,153765.3936098115,123612.96320669027,151525.10095678,163056.74789782293,153397.84300509392,179537.85551091982
2013-03-20,124119.75905712495,128392.15529260872,155340.8095455219,124992.52730131702,152583.52901652662,164203.85777814663,153378.33549630115,181419.00823274214
2013-03-21,123574.15747454559,127380.97890866076,153613.15569987826,123614.32214540584,151280.14818648994,162339.7864239374,153149.77883881854,179094.4644986421
2013-03-22,123762.87107714727,127807.56232959297,155355.448762885,125235.41599450656,152495.3602672021,163917.09556407994,153943.77344459447,181252.42533609914
2013-03-25,123885.23515586459,127462.41130526563,154868.95186388853,124719.19581801424,151858.3068394334,163319.63953496414,153495.37248593703,180116.64508695487
2013-03-26,124984.70837036602,128376.66421508286,156093.30791165467,126133.59560335113,153073.6126568555,164203.85777814663,154315.06105233633,182278.82650934
2013-03-27,125116.53051492805,128533.47011637563,156245.1898769917,126251.80177518076,153073.6126568555,164418.96757873223,154827.21473248574,182278.82650934
2013-03-28,125416.91028271569,128837.20556313032,156661.54201462137,126882.79518722725,153543.9459724101,164825.22506689254,154809.3604388744,183118.9302019966
2013-04-01,124675.64618204112,127876.36226660336,154893.06874996156,124765.5628467732,152936.40086091546,163701.98576349436,154889.73038013745,182032.0783874059
2013-04-02,124055.04722518116,127551.37919110092,154700.16712645875,124342.15091633008,153691.0188702308,164992.52251889408,155097.06369105386,183379.35101692038
2013-04-03,123292.01789737644,126221.04111417968,152357.5113394598,122518.63772877591,152132.73043131354,163486.86579223262,154704.8320763139,180590.39895524757
2013-04-04,123536.83554570816,126634.18141088335,153138.1374477731,123205.82984216965,152750.15539203084,163534.68831149282,155823.18104093475,181689.77796131102
2013-04-05,123155.05573692237,126265.16835392435,152166.74572278233,122648.91332254038,152064.16202802747,162172.57033734504,156677.9533259944,180465.8383030944
2013-04-08,123563.03197343531,126851.97187462304,153204.29900042762,123474.66919137276,153093.16613453897,163032.85697954515,156811.36336595728,182297.63173379804
2013-04-09,123699.49063107904,129405.80399239683,158063.52695202176,129288.89433800573,153622.4035985898,164132.13416993245,156975.94882562815,183242.92608060586
2013-04-10,124627.8846501607,131039.26969224057,159807.87488986924,130537.88694611698,155504.09306030578,167334.5342867732,157245.4333653836,186609.68387305178
2013-04-11,125355.35687231249,131230.6680543316,160229.15244290518,131314.77473578803,156013.7676730021,167262.75982517828,157675.5193739501,187527.12163769468
2013-04-12,124907.74308671363,130412.16482984193,159021.65333654374,130169.6403046781,155631.51874373312,167143.35608717002,158379.97159083866,186837.93206304303
2013-04-15,122949.13334107894,127646.24493183284,155077.0847674173,127171.88855585078,152024.90509392467,163845.37195586576,156743.05957505904,180343.24279778427
2013-04-16,123891.0401538999,129383.17023416614,157410.66281188052,129287.16409144834,154269.22439152925,166020.09644241954,157578.29397683553,184336.81036245663
2013-04-17,123048.59050028192,127387.16990676196,154855.15567496244,127775.00173405134,152015.1283550829,162769.98568375624,156632.4881511909,180296.67006310617
2013-04-18,122236.35173036088,126387.477718207,152984.25196442025,126638.430991099,151064.4881380412,160523.47656493142,156211.8083862041,178605.4180073206
2013-04-19,122905.9900694836,126939.38098172187,154227.74334220958,127700.02810000257,152377.7488173005,162722.15299381988,156873.74323864095,180934.4445918878
2013-04-22,123076.12133764755,127447.3838441599,154604.006248304,127997.34061570934,153053.9841898041,164395.08683113058,157331.7617310009,182138.89477395505
2013-04-23,123832.95148153914,129337.13468499837,157637.2511431114,130535.78881974588,154631.86360108881,165972.27392315932,158065.55191643286,184955.4814859505
2013-04-24,122252.68679947584,130328.5019068234,158543.5150335542,132099.4433490167,154729.85595761,165900.6520217067,158287.36904649957,185131.29476654067
