date,tier,R_t,cash_pct,n_holdings,turnover,holdings
2021-12-01,1_cap_pres,0.668,0.751,12,0.667,"LLY,V,VEEV,MRK,AMP,PODD,BMY,ICE,MA,TROW,ALGN,BSX"
2022-01-03,1_cap_pres,0.282,0.461,12,0.75,"MSCI,DXCM,ICE,NDAQ,AON,AMP,MCO,VEEV,VRSK,URI,SPGI,MRSH"
2022-02-01,1_cap_pres,0.664,0.748,12,0.667,"GILD,ZTS,LLY,ICE,TROW,FDS,AMP,VST,NDAQ,ISRG,IDXX,MRSH"
2022-03-01,1_cap_pres,0.861,0.896,12,0.667,"MA,V,AMP,INCY,GILD,MSCI,ZTS,NDAQ,GPN,PFE,AFL,CL"
2022-04-01,1_cap_pres,0.598,0.699,12,0.667,"ZTS,ICE,UNP,AMP,MAS,PFE,VST,RMD,CME,GILD,UHS,LLY"
2022-05-02,1_cap_pres,0.756,0.817,12,0.583,"ABBV,BRO,AMGN,AFL,INCY,LLY,ZTS,RMD,NDAQ,PFE,ICE,IDXX"
2022-06-01,1_cap_pres,0.626,0.72,12,0.75,"ABBV,BMY,INCY,DVA,UHS,CME,BRO,KO,AON,DXCM,MCO,AMP"
2022-07-01,1_cap_pres,0.718,0.788,12,0.917,"MO,AMP,MA,VST,V,TDG,ICE,GPN,URI,ALLE,MMM,GE"
2022-08-01,1_cap_pres,0.519,0.639,12,0.917,"LLY,ABBV,INCY,BMY,ZTS,CME,MRK,GILD,AMGN,REGN,AON,V"
2022-09-01,1_cap_pres,0.531,0.648,12,0.75,"VEEV,MA,V,MCO,ZTS,MSCI,IDXX,SPGI,VRT,RMD,INCY,EW"
2022-10-03,1_cap_pres,0.646,0.735,12,0.5,"MA,V,VST,MCO,ZTS,MSCI,CME,SPGI,KO,ICE,KMB,GPN"
2022-11-01,1_cap_pres,0.539,0.654,12,0.75,"BRO,RMD,VEEV,ICE,ZTS,LLY,ABBV,PYPL,CME,FDS,TROW,NDAQ"
2022-12-01,1_cap_pres,0.423,0.567,12,0.583,"LLY,BRO,AMGN,BMY,AMP,VST,RMD,PYPL,DXCM,PODD,CME,INCY"
2023-01-03,1_cap_pres,0.449,0.587,12,0.5,"VST,AMP,AMGN,BMY,FDS,MSCI,ZTS,RMD,GILD,MO,INCY,VEEV"
2023-02-01,1_cap_pres,0.292,0.469,12,0.667,"LLY,ABBV,AMGN,GILD,MRK,JNJ,BMY,BRO,ALL,NDAQ,CME,MO"
2023-03-01,1_cap_pres,0.387,0.541,12,0.5,"LLY,MA,BMY,V,ICE,GILD,ISRG,NDAQ,BRO,JNJ,INCY,VST"
2023-04-03,1_cap_pres,0.331,0.498,12,0.75,"INCY,VST,MO,AMP,UAL,ALLE,ZTS,PM,VRT,AFL,URI,MA"
2023-05-01,1_cap_pres,0.255,0.442,12,0.75,"VST,MSCI,CME,AMGN,GILD,BMY,PFE,ABBV,ES,AMP,INCY,ICE"
2023-06-01,1_cap_pres,0.21,0.407,12,0.583,"ZTS,ABBV,BRO,MO,AMGN,MA,V,KO,INCY,CME,BMY,PODD"
2023-07-03,1_cap_pres,0.117,0.338,12,0.667,"ABBV,NDAQ,MSCI,BMY,GILD,REGN,CME,FDS,RMD,INCY,LLY,PFE"
2023-08-01,1_cap_pres,0.17,0.377,12,0.75,"MO,DXCM,MRK,MA,EW,V,BMY,AON,GILD,PODD,LLY,ZBH"
2023-09-01,1_cap_pres,0.21,0.407,12,0.75,"JNJ,KO,GILD,ABBV,MKC,RMD,CL,INCY,AMGN,PEP,PODD,DXCM"
2023-10-02,1_cap_pres,0.405,0.553,12,0.833,"LLY,MA,V,BRO,INCY,ZTS,BMY,AMP,MO,MRK,JNJ,BLK"
2023-11-01,1_cap_pres,0.446,0.585,12,0.5,"MSCI,LLY,ZTS,MA,BMY,VEEV,AMGN,TROW,AMP,IDXX,INCY,SPGI"
2023-12-01,1_cap_pres,0.203,0.403,12,0.5,"LLY,INCY,BMY,BRO,GILD,AMGN,MSCI,AON,CME,VST,ABBV,ZTS"
